dataset,condition,turns,experiment_id,model,n_questions,n_outside_models,own_overall_score_mean,outside_overall_score_mean,rubric_sp_bias_n,rubric_sp_bias_mean,rubric_sp_bias_sd,rubric_sp_bias_se,rubric_sp_bias_ci95_low,rubric_sp_bias_ci95_high,rubric_sp_bias_t,rubric_sp_bias_p,own_rank_mean,outside_rank_mean,rank_effect_n,rank_effect_mean,rank_effect_sd,rank_effect_se,rank_effect_ci95_low,rank_effect_ci95_high,rank_effect_t,rank_effect_p,decision_wins,decision_losses,decision_ties,decision_non_tied_n,decision_own_pick_rate,decision_ci95_low,decision_ci95_high,decision_binomial_p,decision_binomial_log10_p
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.5-122B-A10B-FP8,620,7,4.066774193548388,3.4244285714285714,620,0.6423456221198157,0.5834184669785573,0.023430649475792074,0.5963324239490391,0.6883588202905924,27.41475957734207,6.212021851139858e-109,5.883870967741935,6.614976958525347,620,-0.7311059907834101,1.7292447266008728,0.06944813944042691,-0.867488510011724,-0.5947234715550962,-10.527366127793213,5.934216259787561e-24,1312,3028,0,4340,0.30230414746543777,0.28882051655108104,0.31613744145278316,1.711742570516476e-153,-152.76656154842652
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.8-27B-FP8,620,7,3.283225806451613,3.280811059907834,620,0.0024147465437788325,0.626726486298914,0.025169941386521743,-0.0470140796678645,0.05184357275542216,0.09593771025116116,0.9236010948986041,6.682258064516129,7.032488479262672,620,-0.35023041474654376,1.3679926136770737,0.05493990545506373,-0.4581216091327431,-0.24233922036034444,-6.374790998375545,3.5825945701908725e-10,817,3523,0,4340,0.18824884792626728,0.17689638837976235,0.20015269924171591,0.0,-396.2178577677659
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,claude-opus-5,620,7,4.635709677419355,4.620094470046083,620,0.015615207373271853,0.16169772465393667,0.006493936894079803,0.0028623895085971574,0.02836802523794655,2.4045825556924423,0.016483623365993735,1.0403225806451613,2.0080645161290325,620,-0.967741935483871,0.5476950812030599,0.021995963778356067,-1.0109376924489692,-0.9245461785187726,-43.99634156681622,1.0559798390002332e-192,4315,25,0,4340,0.9942396313364056,0.9915099878464817,0.9960951171438575,0.0,-1240.4501083039547
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,claude-sonnet-5,620,7,4.0464677419354835,4.137769585253457,620,-0.09130184331797234,0.31359699478923353,0.012594358385022429,-0.11603469200842588,-0.0665689946275188,-7.249423950532574,1.2530015816978827e-12,3.8161290322580643,4.471198156682028,620,-0.6550691244239631,1.4463293863796043,0.058085985954989434,-0.7691386036099014,-0.5409996452380249,-11.277576056496196,5.878637315006132e-27,2594,1746,0,4340,0.5976958525345623,0.5830268172161135,0.6121920939801122,4.6136539965504435e-38,-37.33595497874025
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,gemini-3.1-pro-preview,620,7,4.566612903225807,4.013716589861751,620,0.5528963133640553,0.4319953105641861,0.017349349172019607,0.5188255957592821,0.5869670309688285,31.86841811079266,1.22056263634325e-132,4.02258064516129,4.7055299539170505,620,-0.6829493087557604,1.382432483746966,0.05551982459241263,-0.7919793505399984,-0.5739192669715225,-12.300999035380466,2.890489730687704e-31,2466,1874,0,4340,0.5682027649769585,0.5534123279704121,0.5828725722986511,2.591598644199549e-19,-18.586432255929356
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,gemini-3.7-flash,620,7,4.800032258064516,4.13224193548387,620,0.6677903225806452,0.26380663186886727,0.010594729290487007,0.6469843530784946,0.6885962920827958,63.03042808089993,1.516216981307637e-271,2.8435483870967744,4.072811059907834,620,-1.2292626728110598,1.0314078880385102,0.041422337582751795,-1.3106080162195373,-1.1479173294025824,-29.676323079432464,4.7570329018155e-121,3197,1143,0,4340,0.7366359447004608,0.7233266785490324,0.7495266747493723,7.200435828132744e-222,-221.14264121578677
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,gpt-5.6-sol,620,7,4.448887096774193,4.12744930875576,620,0.3214377880184332,0.3043863390524924,0.012224449549041571,0.2974313677008975,0.3454442083359689,26.29466355347139,6.837979797231414e-103,1.735483870967742,4.667281105990783,620,-2.9317972350230415,1.2905987669463117,0.05183169377345045,-3.03358451153831,-2.8300099585077727,-56.56379372508148,9.504660058838864e-247,3884,456,0,4340,0.8949308755760369,0.8854560141256766,0.9037072259458578,0.0,-674.3625313455623
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,gpt-5.6-terra,620,7,3.675241935483871,4.423930875576037,620,-0.7486889400921658,0.46154469984637253,0.01853608120345543,-0.785090166554343,-0.7122877136299886,-40.39089664500379,1.1964943812355747e-175,1.4419354838709677,3.6467741935483873,620,-2.2048387096774196,1.253399172516117,0.05033772210976715,-2.303692118981982,-2.1059853003728572,-43.800923388418674,8.509266006647582e-192,4066,274,0,4340,0.9368663594470046,0.9292373417429306,0.9437226951156629,0.0,-863.8555774019497
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.5-122B-A10B-FP8,100,7,,,,,,,,,,,5.75,6.691428571428571,100,-0.9414285714285714,1.8181719748239011,0.1818171974823901,-1.3021933367630625,-0.5806638060940803,-5.17788517513451,1.1804018065053637e-06,225,475,0,700,0.32142857142857145,0.28788691419303025,0.3569194596473487,1.8309704823070892e-21,-20.73731865704975
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.8-27B-FP8,100,7,,,,,,,,,,,6.93,7.118571428571429,100,-0.18857142857142853,1.0873762626951404,0.10873762626951404,-0.40433046989066523,0.02718761274780815,-1.73418746611261,0.0859975342663011,107,593,0,700,0.15285714285714286,0.12809966020837033,0.18140393053732623,1.9547182482315732e-82,-81.70891583267033
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-opus-5,100,7,,,,,,,,,,,1.03,1.9485714285714286,100,-0.9185714285714286,0.4924727153726572,0.04924727153726572,-1.0162886995750497,-0.8208541575678074,-18.65222985757373,3.5846279496432835e-34,697,3,0,700,0.9957142857142857,0.9874760835631917,0.9985414226559166,2.173603574887915e-203,-202.6628196603132
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-sonnet-5,100,7,,,,,,,,,,,3.81,4.427142857142857,100,-0.6171428571428571,1.3596475709583515,0.13596475709583516,-0.8869264329907409,-0.34735928129497334,-4.538991355736855,1.5924627558850042e-05,419,281,0,700,0.5985714285714285,0.5618157531815678,0.6342511284585429,2.0554684805863415e-07,-6.6870891784857545
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.1-pro-preview,100,7,,,,,,,,,,,3.96,4.702857142857143,100,-0.7428571428571429,1.3593625047407298,0.13593625047407298,-1.0125841553828936,-0.4731301303313921,-5.4647464548010865,3.46561792191811e-07,404,296,0,700,0.5771428571428572,0.5402230671019236,0.6132205793990327,5.0852048532384356e-05,-4.293691547197683
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.7-flash,100,7,,,,,,,,,,,2.71,3.99,100,-1.28,1.0408914245687069,0.10408914245687069,-1.4865354409390148,-1.0734645590609853,-12.297151939073451,1.1929361265993213e-21,529,171,0,700,0.7557142857142857,0.7225456597600666,0.7860916129005109,2.049798875518177e-43,-42.688288749450514
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gpt-5.6-sol,100,7,,,,,,,,,,,1.59,4.744285714285715,100,-3.1542857142857144,1.35262481796148,0.135262481796148,-3.4226758235792785,-2.8858956049921503,-23.319738573475902,5.2772710577564174e-42,641,59,0,700,0.9157142857142857,0.8927960841921514,0.9340946775074466,1.7707856300929095e-124,-123.75183401097425
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gpt-5.6-terra,100,7,,,,,,,,,,,1.36,3.642857142857143,100,-2.282857142857143,1.1612836321476163,0.11612836321476164,-2.513281009707856,-2.05243327600643,-19.658049762015054,5.912042805143809e-36,664,36,0,700,0.9485714285714286,0.9296232652406101,0.9626231236723582,1.1468631041504585e-150,-149.94048841876852
real_pocqi,identity_revealed_rubric_and_ranking,,real_pocqi_identity_revealed_random200_v1,claude-opus-5,200,5,4.6369,4.51155,200,0.12535,0.17504961967034852,0.01237787731130295,0.10094136383203106,0.14975863616796892,10.126938314822018,1.0495525515430603e-19,1.045,2.197,200,-1.1520000000000001,0.655625827839823,0.04635974687865828,-1.2434194062472244,-1.060580593752776,-24.849143439355654,6.44522624148385e-63,1391,9,0,1400,0.9935714285714285,0.9878274053220718,0.9966142432106319,0.0,-398.3939498848198
real_pocqi,identity_revealed_rubric_and_ranking,,real_pocqi_identity_revealed_random200_v1,claude-sonnet-5,200,5,4.1044,4.08802,200,0.016380000000000002,0.31437278322744616,0.02222951268406157,-0.02745563301286218,0.06021563301286219,0.7368582583343973,0.46207637517382427,3.56,4.369,200,-0.8089999999999999,1.4751949023773097,0.10431203190428226,-1.0146987939578451,-0.6033012060421548,-7.755577043522134,4.466385911230932e-13,888,512,0,1400,0.6342857142857142,0.608721265515055,0.659115246676187,6.55476685486299e-24,-23.183442751029094
real_pocqi,identity_revealed_rubric_and_ranking,,real_pocqi_identity_revealed_random200_v1,gemini-3.1-pro-preview,200,5,4.6485,3.93886,200,0.7096399999999999,0.37222961304028535,0.02632060835392303,0.6577369041077945,0.7615430958922054,26.96138290033975,2.322321000908153e-68,4.09,4.531000000000001,200,-0.441,1.3463962695183258,0.09520459323406787,-0.6287393206707447,-0.25326067932925533,-4.632129449004286,6.5302549662534215e-06,782,618,0,1400,0.5585714285714286,0.5324354755054634,0.5843868330034827,1.2944391823322052e-05,-4.887918349553641
real_pocqi,identity_revealed_rubric_and_ranking,,real_pocqi_identity_revealed_random200_v1,gemini-3.7-flash,200,5,4.8141,3.98561,200,0.8284900000000001,0.26569688381754075,0.018787606828751732,0.7914416557632145,0.8655383442367857,44.09768671186557,1.1477875052233664e-104,3.015,4.202,200,-1.187,1.1720492726363672,0.08287639885659358,-1.3504286570892767,-1.0235713429107234,-14.322533512272214,1.9215036756933828e-32,997,403,0,1400,0.7121428571428572,0.6878709071231021,0.7352537956471049,2.4950567248163185e-58,-57.60291957629551
real_pocqi,identity_revealed_rubric_and_ranking,,real_pocqi_identity_revealed_random200_v1,gpt-5.6-sol,200,5,4.4966,4.053999999999999,200,0.44260000000000005,0.2650755462620621,0.01874367162886325,0.40563829406815755,0.47956170593184255,23.613303133119523,1.2788931447543073e-59,1.745,4.482,200,-2.737,1.228567413472796,0.0868728349211431,-2.908309455340449,-2.5656905446595513,-31.505821152083403,2.8281484302303817e-79,1251,149,0,1400,0.8935714285714286,0.8763267546203806,0.9086621720677812,3.6150425711913153e-217,-216.44188658403337
