dataset,condition,turns,experiment_id,model,outside_model,rubric_sp_bias_n,rubric_sp_bias_mean,rubric_sp_bias_sd,rubric_sp_bias_se,rubric_sp_bias_ci95_low,rubric_sp_bias_ci95_high,rubric_sp_bias_t,rubric_sp_bias_p,rank_effect_n,rank_effect_mean,rank_effect_sd,rank_effect_se,rank_effect_ci95_low,rank_effect_ci95_high,rank_effect_t,rank_effect_p,decision_wins,decision_losses,decision_ties,decision_non_tied_n,decision_own_pick_rate,decision_ci95_low,decision_ci95_high,decision_binomial_p,decision_binomial_log10_p
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.5-122B-A10B-FP8,Qwen/Qwen3.8-27B-FP8,620,0.5416129032258065,0.7686994525160691,0.030871712918883763,0.48098691648670416,0.6022388899649088,17.543986128949456,3.0989030821517446e-56,620,-0.49838709677419357,2.1468684738702977,0.08622031274120162,-0.6677068734456055,-0.32906732010278156,-5.780390733099627,1.1820593232065535e-08,392,228,0,620,0.632258064516129,0.5935967524070802,0.6692905528227204,4.5791196708433953e-11,-10.33921800645978
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.5-122B-A10B-FP8,claude-opus-5,620,0.9098387096774194,0.6277065260364145,0.025209300729534388,0.8603325894389168,0.9593448299159221,36.09139021502022,2.1153524447174048e-154,620,-0.9838709677419355,1.8920113963380485,0.07598500620212635,-1.133090610671528,-0.834651324812343,-12.948225142270278,4.186078389022687e-34,22,598,0,620,0.035483870967741936,0.023547986906264792,0.05314050204272763,7.884814489209417e-147,-146.1032085201234
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.5-122B-A10B-FP8,claude-sonnet-5,620,0.6004838709677419,0.6636135654115568,0.02665136213302326,0.548145825084083,0.6528219168514008,22.531076196803177,1.505945542025881e-82,620,-0.4306451612903226,2.032060376336866,0.08160950858853284,-0.5909102233059337,-0.2703800992747115,-5.2768993311991785,1.8198352904740071e-07,159,461,0,620,0.2564516129032258,0.22365213347793406,0.29225051176962796,5.052740984494686e-35,-34.29647296415779
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.5-122B-A10B-FP8,gemini-3.1-pro-preview,620,0.34725806451612906,0.7538220745294901,0.030274223040773325,0.287805430662312,0.4067106983699461,11.470420365485248,9.449025620367986e-28,620,-0.6532258064516129,1.9585542244369774,0.07865743048857116,-0.8076935663152078,-0.498758046588018,-8.304692924675768,6.312703587648328e-16,180,440,0,620,0.2903225806451613,0.2559713155404831,0.3272561273878815,4.4749850552397813e-26,-25.34920841072534
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.5-122B-A10B-FP8,gemini-3.7-flash,620,0.06325806451612906,0.6642247642894986,0.02667590847065158,0.010871814441680477,0.11564431459057764,2.3713555842240424,0.018028045727605323,620,-0.8,1.840664345894924,0.07392285903222388,-0.9451699905081321,-0.654830009491868,-10.822092252293302,4.0695183458623576e-25,111,509,0,620,0.17903225806451614,0.15085956084065502,0.2111578325650724,8.357140984161808e-62,-61.07794227126512
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.5-122B-A10B-FP8,gpt-5.6-sol,620,0.6241290322580646,0.6556101003486685,0.026329935241187874,0.572422205721813,0.6758358587943162,23.704161310725162,7.017397150991511e-89,620,-0.9048387096774193,1.9965177616667973,0.0801820828333962,-1.0623005875895324,-0.7473768317653061,-11.284799268154579,5.491566338505395e-27,262,358,0,620,0.42258064516129035,0.3842919725516401,0.46182277560652524,0.0001322109908296964,-3.8787324400221532
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.5-122B-A10B-FP8,gpt-5.6-terra,620,1.4098387096774194,0.7431265912667686,0.029844682096344773,1.3512296099569123,1.4684478093979265,47.23919340558462,1.9369892844398305e-207,620,-0.8467741935483871,2.030639119007395,0.08155242952061406,-1.006927163474265,-0.6866212236225093,-10.383187828075036,2.1614867911121497e-23,186,434,0,620,0.3,0.2652503892979678,0.3372127101106261,8.49560740577254e-24,-23.070805565171028
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.8-27B-FP8,Qwen/Qwen3.5-122B-A10B-FP8,620,-0.4683870967741935,0.7604738628760145,0.030541365289358163,-0.5283643455874303,-0.4084098479609567,-15.33615450182243,3.1268175185744054e-45,620,0.0967741935483871,2.032925086601471,0.0816442361884544,-0.06355906665946096,0.2571074537562351,1.1853156826038416,0.23634749539597666,270,350,0,620,0.43548387096774194,0.39697145000024775,0.47479084013155665,0.0014900980078351837,-2.8267851659084062
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.8-27B-FP8,claude-opus-5,620,0.32970967741935486,0.7191517482860628,0.028881829231869504,0.27299143180036023,0.3864279230383495,11.415817009801389,1.5887185453027664e-27,620,-0.6241935483870967,1.5025218955093351,0.06034273142861593,-0.7426948328802786,-0.5056922638939149,-10.344138119195074,3.061178306757779e-23,3,617,0,620,0.004838709677419355,0.0016469337718796146,0.014128642989719966,1.82583766562469e-179,-178.73853783800496
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,Qwen/Qwen3.8-27B-FP8,claude-sonnet-5,620,-0.06622580645161287,0.7501723747923609,0.030127647572095698,-0.12539059484496984,-0.007061018058255916,-2.19817382997242,0.028306170430319872,620,0.1064516129032258,1.8015314762761014,0.07235124516856091,-0.03563203634785417,0.24853526215430577,1.4713169435469877,0.14171359895031532,109,511,0,620,0.17580645161290323,0.14786558620262188,0.2077399217096957,3.891928843510284e-63,-62.40983510857677
